Name	Code	PhyCode
VIPP1	Cre13.g583550	Cre13.g583550.v5.5
VIPP2	Cre11.g468050	Cre11.g468050.v5.5
HSP70B	Cre06.g250100	Cre06.g250100.v5.5
HSP22C	Cre03.g145787	Cre03.g145787.v5.5
HSP22E	Cre14.g617450	Cre14.g617450.v5.5
HSP22F	Cre14.g617400	Cre14.g617400.v5.5
CLPB3	Cre02.g090850	Cre02.g090850.v5.5
CLPS1	Cre17.g696400	Cre17.g696400.v5.5
CLPS2	Cre12.g559150	Cre12.g559150.v5.5
CGE1	Cre07.g341600	Cre07.g341600.v5.5
CDJ1	Cre12.g507650	Cre12.g507650.v5.5
CDJ3	Cre01.g009900	Cre01.g009900.v5.5
RPL37	Cre10.g430400	Cre10.g430400.v5.5
PRPS6	Cre12.g520600	Cre12.g520600.v5.5

